words,nltk_sentiment
"['happy', 'may', 'bring', 'lots', 'happiness', 'life', 'also', 'ur']",positive
"['happiness', 'good', 'health', 'prosperity', 'auspicious', 'occasion', 'may', 'world', 'bless']",positive
"['pandemic', 'human', 'depression', 'punk', 'us', 'marshal', 'mornings']",negative
"['stay', 'happy', 'stay', 'hospitality', 'hotel', 'luxury', 'happiness']",positive
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['suicide', 'covid', 'depression']",negative
"['currently', 'giving', 'ulcer', 'constant', 'state', 'stress', 'anxiety', 'feel']",negative
"['may', 'god', 'bless', 'family', 'fill', 'home', 'colors', 'happiness', 'joy']",positive
"['dad', 'really', 'distressed', 'isolated', 'hospital', 'due', 'new']",negative
"['auspicious', 'day', 'wish', 'good', 'health', 'happiness', 'prosperity', 'remember']",positive
"['wishing', 'happiness', 'big', 'appetite', 'celebration']",positive
"['psychotherapy', 'teletherapy', 'help', 'overcome', 'anxiety', 'stress', 'coping']",negative
"['trying', 'find', 'happiness', 'learn', 'happy', 'people', 'detailed']",positive
"['impact', 'causing', 'hardship', 'great', 'distress', 'trauma', 'li']",negative
"['absolutely', 'unnecessary', 'immunity', 'stress', 'leaves', 'people', 'vulnerable']",negative
"['oh', 'yeah', 'even', 'worse', 'second', 'wave', 'plus', 'even', 'worse', 'economic', 'depression', 'well']",negative
"['report', 'extremely', 'read', 'stress']",negative
"['weed', 'depression', 'heal', 'emotional', 'loss']",negative
"['chaos', 'due', 'inequality', 'great', 'depression', 'era', 'unemployment', 'people', 'lose', 'lose', 'health']",negative
"['fake', 'election', 'tied', 'foreign', 'via', 'anxiety']",negative
"['anxiety', 'size', 'planet', 'nuclear', 'cant', 'afford', 'biological', 'warf']",negative
"['uncertain', 'times', 'depression', 'real', 'impacted', 'us', 'speak', 'someone']",negative
"['make', 'day', 'bright', 'sometimes', 'need', 'create', 'sun', 'depression', 'anxiety']",negative
"['hope', 'miss', 'sad', 'dying', 'depression', 'crying']",negative
"['negative', 'stress', 'dont', 'mess', 'around']",negative
"['everyone', 'stress', 'differently', 'dont', 'suffer', 'silence']",neutral
"['follow', 'us', 'resilience', 'anxiety']",negative
['stress'],negative
"['covid', 'depression', 'real', 'tell', 'ya']",negative
"['stay', 'happy', 'stay', 'hospitality', 'hotel', 'luxury', 'happiness']",positive
"['visiting', 'care', 'impose', 'prison', 'like', 'causing', 'distress']",negative
"['stress', 'meet']",negative
"['stress', 'meet']",negative
"['related', 'stress', 'bank', 'stress', 'given', 'u', 'ur', 'ban']",negative
"['training', 'ready', 'remote', 'position', 'dont', 'anxiety', 'go']",positive
"['bearing', 'brunt', 'covid', 'toll', 'survey', 'anxiety']",negative
"['deal', 'type', 'call', 'someone', 'already', 'anxiety', 'call', 'could']",negative
"['ways', 'help', 'register', 'without', 'stress', 'click', 'link', 'follow']",positive
"['bearing', 'brunt', 'covid', 'toll', 'survey', 'troubling', 'picture', 'growing', 'anxiety']",negative
"['beauty', 'eye', 'anxiety', 'freedom', 'love']",positive
"['help', 'cope', 'stress', 'anxiety', 'remain', 'calm', 'strong', 'faith', 'th']",positive
"['lot', 'yesterday', 'train', 'anxiety', 'outdoor', 'club', 'extreme']",negative
"['set', 'review', 'implementation', 'resolution', 'framework', 'stress', 'bank']",negative
"['stop', 'stigma', 'depression', 'anxiety']",negative
"['review', 'implementation', 'resolution', 'framework', 'related', 'stress', 'ba']",negative
"['amid', 'pandemic', 'growing', 'anxiety', 'inability', 'concentrate', 'aged']",negative
"['finance', 'minister', 'said', 'state', 'gradually', 'facing', 'financial', 'stress']",negative
"['providing', 'stress', 'wellness', 'training']",neutral
"['think', 'anxious', 'coming', 'semester', 'even', 'virtual', 'teaching', 'stressful', 'take']",negative
"['pandemic', 'higher', 'depression', 'anxiety', 'eve']",negative
"['midnight', 'bubble', 'gum', 'weekend', 'treat', 'stress', 'reliever']",positive
"['successfully', 'channeled', 'anxiety', 'work', 'unreservedly', 'recommend', 'borscht']",positive
"['understandable', 'youve', 'insomnia', 'stress', 'recently', 'pandemic', 'causing', 'concern', 'many', 'q']",negative
"['light', 'depression', 'anxiety']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['poor', 'people', 'stress', 'deserve', 'better', 'future', 'put', 'suspend']",negative
"['stress', 'immune', 'looking', 'immune', 'help']",positive
"['um', 'unemploy', 'rate', 'bad', 'since', 'great', 'depression']",negative
"['pandemic', 'politics', 'anxiety', 'alcohol']",negative
"['everyone', 'differently', 'stressful', 'like', 'may', 'feel', 'anxiousness', 'anger', 'sadness']",negative
"['dont', 'want', 'dwell', 'stress', 'question', 'see', 'opportunity', 'share', 'inform']",positive
"['rising', 'stress', 'world', 'wash', 'soap']",negative
"['anxiety', 'insomnia', 'pain', 'relief', 'give', 'organic', 'oil', 'new', 'gift', 'ca']",positive
"['pandemic', 'politics', 'anxiety', 'alcohol']",negative
"['session', 'victor', 'today', 'topic', 'manage', 'stress', 'burnout']",negative
"['know', 'someone', 'coping', 'well', 'stress', 'free', 'anonymous', 'screening']",positive
['stress'],negative
"['politics', 'anxiety', 'alcohol', 'health']",negative
"['pandemic', 'anxiety', 'politics', 'alcohol', 'health']",negative
"['positive', 'test', 'news', 'synopsis', 'distressing']",positive
"['study', 'anxiety', 'pandemic']",negative
"['threat', 'community', 'lead', 'worry', 'fear', 'sadness', 'even']",negative
"['never', 'never', 'usual', 'look', 'sadness', 'time', 'prime', 'r']",positive
"['put', 'added', 'stress', 'defined', 'benefit', 'maintain', 'appropriate', 'read']",positive
"['pandemic', 'politics', 'anxiety', 'alcohol', 'health']",negative
"['anxiety', 'injury', 'monster', 'art', 'drawing', 'sketch', 'sketchbook', 'illustration']",negative
"['parasite', 'stress', 'theory', 'robot', 'saying']",negative
"['fog', 'distressing', 'neurological', 'apparent', 'tonight']",negative
"['parasite', 'stress', 'theory', 'robot', 'saying']",negative
"['depression', 'sudden']",negative
"['hear', 'death', 'also', 'distressed', 'see', 'many', 'like']",negative
"['helpful', 'tip', 'coping', 'stress', 'response', 'regular', 'exercise', 'take', 'play', 'read', 'book', 'wa']",positive
"['people', 'everywhere', 'struggling', 'pandemic', 'stress', 'anxiety', 'recognize', 'love']",negative
"['help', 'deal', 'stress', 'without', 'losing', 'mi']",positive
